lemma,pos,sense_source,sense_target,semantic_relationship
царство,noun,царевина.,земља којом управља цар или царица,exact
цена,noun,"вредност чега (робе, рада и сл.) изражена у новцу или чему другом",Својство поседовања материјалне вредности: обично се исказује новчаним износом који би нешто донело да се прода.,exact
цена,noun,"важност, вредност, значење.",Висока вредност нечега.,broader
ценити,verb,"одмеравати, одређивати, утврђивати цену или вредност нечему.",Одредити цену.,broader
ценити,verb,"стварати одређени суд о некоме или нечему, просуђивати, (пр)оцењивати.",Проценити да је нешто могуће.,broader
ценити,verb,ценкати се.,Одредити цену.,narrower
центар,noun,"у геометријској фигури (кругу, лопти) тачка која је од свих тачака обима или површине подједнако удаљена",тачка једнако удаљена од крајева линије или завршетака лика,exact
центар,noun,"средина, средиште, средњи део града који се обично налази у средини градског простора:",Зона која је приближно централна унутар неког већег подручја.,exact
центар,noun,"место где је сконцентрисана каква активност, руководство, управа; град или насеље које има административни, културни, индустријски и сл. значај за какву област или земљу; највиши орган (органи) какве активности:",Зграда посвећена посебној активности.,related
центар,noun,"оно што је најглавније, око чега се све разврстава, скупља.",Најпробранији или најсадржајнији или најважнији део неке идеје или искуства.,exact
центар,noun,у буржоаском парламенту партија која стоји између левице и деснице.,Политички умерене особе; центраши.,exact
центиметар,noun,стоти део метра.,јединица за дужину која износи једну стотину метра,exact
центиметар,noun,кројачка врпца за мерење дужине с назначеним центиметрима.,Мерни инструмент који се састоји од уске траке од метала или тканине на којој су означени инчи или центиметри и служи за мерење дужине.,narrower
цеваница,noun,"кост ноге од колена до глежња, голен, гњат",унутрашња дебља кост људске ноге од колена до глежња кнее анд анкле,exact
цеваница,noun,"надлактица, рамењача.",део меса са доњег дела ноге,related
циклус,noun,скуп појава које се развијају и понављају по једном утврђеном реду у једном временском раздобљу:,интервал у току кога се понавља секвенција догађаја,related
циклус,noun,"скуп радња, уметничких дела, песама, научних дисциплина повезаних међу собом сродношћу садржаја, главном идејом, главним лицем или ауторством и сл.:",серија песама које повезује иста тема,broader
