lemma,pos,sense_source,sense_target,semantic_relationship
achoimre,noun,leagan gearr.,cuntas giorraithe agus gan tugtha ach na príomhphointí,broader
gainéad,noun,"(éaneolaíocht) Éan farraige den ghéineas Morus a bheireann ar éisc trí thumadh san fharraige.  Tá trí ghné ann: M. bassana san Atlantach Thuaidh, M. serrator san Astraláise agus tá M. capiensis le fáil i bhfarraigí deisceartacha na hAfraice.  Bíonn Morus bassana an-choitianta ar chóstaí na hÉireann.",an t-éan farraige is mó ar chóstaí na hÉireann,exact
ceamara,noun,gléas a dhéanann grianghraif nó pictiúir teilifíse. grianghrafadán,gléas ar nós bosca beag chun pictiúir a thógáil,broader
ola,noun,"(fáthchiallach) ungadh, balsam.",ungadh,exact
céim,noun,coiscéim.,coiscéim,exact
céim,noun,Aonad tomhais.,aonad tomhais,exact
céim,noun,"(fisic) Aonad tomhais le teocht a mheas. Mar shampla Celcius, nó Fahrenheit.",aonad tomhais,narrower
céim,noun,(céimseata) Aonad tomhais le huillinn a mheas.  Is cothrom le 1/360 imlíne ciorcal í.,aonad tomhais,narrower
céim,noun,duais a bhronann ollscoil ar mhic léinn mar chomhartha éacht acadúla.,gradam ollscoile,exact
céim,noun,"rang, grád, aicme.",gradam ollscoile,broader
céim,noun,"deacracht, cruachás.",cruatan,related
oideachas,noun,"An próiséas chun eolas, scil agus breithiúnachas a dháileadh.","léann, foghlaim, go mór mór ar scoil nó i gcoláiste",narrower
oideachas,noun,"Eolas, scileanna agus smaointí  atá taréis a bheith foghlaimtha, go foirmiúil nó go neamh-fhoirmiúil.","léann, foghlaim, go mór mór ar scoil nó i gcoláiste",exact
líofa,adjective,"Faobhraithe, géaraithe, snasta trí chuimilt.(stíl, caint) Éasca, saoráideach, pras, snoite, snasta.","géaraithe, faobhraithe",broader
mí,noun,"Tréimhse ama ina roinnter suas bliain, bunaithe go stairiúil ar céimeanna na gealaí. Dar leis an féilire Gregorian, tá dhá mhí déag: Eanáir, Feabhra, Márta, Aibreán, Bealtaine, Meitheamh, Iúil, Lúnasa, Meán Fómhair, Deireadh Fómhair, Samhain agus Nollag.","ceann de dhá roinn déag na bliana, Eanáir, Feabhra etc.",exact
mí,noun,"Tréimhse 30 lá, 31 lá nó méid eile.",ceithre seachtaine,exact
caora,noun,"Ainmhí leathmhór féaránach athchogantach cuideachtúil a mbíonn adharca air go minic.  Gné Ovis aries.  Tá a lán saghas de tugtha chun tíreachais ar fud an domhain mar gheall ar a lomra, a mbainne agus a bhfeoil.",ainmhí athchogantach de chineál an ghabhair a thugann olann agus feoil dúinn,exact
caora,noun,"Ainmhíthe den ghéineas Ovis, agus géinis gaolta leis, a bhfuil dlúthbhaint acu leis na gabhair.",ainmhí athchogantach de chineál an ghabhair a thugann olann agus feoil dúinn,exact
madra,noun,"ainmhí, ball den rang Canis atá ceansaithe ag an duine leis na mílte bliain.","ainmhí a choinnítear chun aoireachta nó seilge nó cosanta, nó mar pheata",broader
beach,noun,"feithid eitilte den ord Hymenoptera (ceithre eite agus cealg aici), fine Apoidea, a dhéananns mil agus céir as neachtar agus pailín a bhailíonn sí ó bhláthanna.",feithid chealgach cheathaireiteach a dhéanann mil agus céir as ábhar a bhailíonn sí ó bhláthanna,exact
teach,noun,Foirgneamh cónaithe.,foirgneamh cónaithe,exact
teach,noun,Foirgneamh poiblí.,foirgneamh poiblí,exact
teach,noun,Struchtúr cosúil le teach.,struchtúr cosúil le teach,exact
